model	objective	gene	status	value
./model.xml	obj	G_PA14_06920	optimal	1.590850572673004
./model.xml	obj	G_PA14_06960	optimal	1.5908505726730062
./model.xml	obj	G_PA14_07090	optimal	0.0
./model.xml	obj	G_PA14_07130	optimal	-7.572533615258776e-14
./model.xml	obj	G_PA14_07170	optimal	1.590850572673011
./model.xml	obj	G_PA14_07190	optimal	1.5616831750422462
./model.xml	obj	G_PA14_07230	optimal	1.5908505726730047
./model.xml	obj	G_PA14_07580	optimal	1.5908505726730222
./model.xml	obj	G_PA14_07590	optimal	0.0
./model.xml	obj	G_PA14_07600	optimal	1.5908505726730349
./model.xml	obj	G_PA14_07690	optimal	1.5908505726730298
./model.xml	obj	G_PA14_07700	optimal	1.5908505726730222
./model.xml	obj	G_PA14_07740	optimal	1.5908505726730122
./model.xml	obj	G_PA14_07770	optimal	1.5908505726730082
./model.xml	obj	G_PA14_07850	optimal	1.5908505726730349
./model.xml	obj	G_PA14_07860	optimal	1.5908505726730173
./model.xml	obj	G_PA14_07870	optimal	1.5908505726730173
./model.xml	obj	G_PA14_07890	optimal	1.5908505726730173
./model.xml	obj	G_PA14_07900	optimal	1.5908505726730173
./model.xml	obj	G_PA14_07910	optimal	-2.1369335534353626e-15
./model.xml	obj	G_PA14_07930	optimal	1.5908505726730084
./model.xml	obj	G_PA14_07940	optimal	1.5908505726730222
./model.xml	obj	G_PA14_08340	optimal	1.5908505726730222
./model.xml	obj	G_PA14_08350	optimal	1.5908505726730222
./model.xml	obj	G_PA14_08360	optimal	1.5908505726730215
./model.xml	obj	G_PA14_08390	optimal	1.5908505726730247
./model.xml	obj	G_PA14_08400	optimal	1.5908505726851185
./model.xml	obj	G_PA14_08480	optimal	1.5908505726730064
./model.xml	obj	G_PA14_08520	optimal	1.5908505726730222
./model.xml	obj	G_PA14_08560	optimal	1.5908505726730102
./model.xml	obj	G_PA14_08620	optimal	1.5908505726730349
./model.xml	obj	G_PA14_08630	optimal	-1.4361725421205071e-11
./model.xml	obj	G_PA14_09150	optimal	1.5908505726730062
./model.xml	obj	G_PA14_09180	optimal	1.5908505726730258
./model.xml	obj	G_PA14_09210	optimal	1.5908505726730215
./model.xml	obj	G_PA14_09220	optimal	1.5908505726730187
./model.xml	obj	G_PA14_09230	optimal	1.590850572673019
./model.xml	obj	G_PA14_09240	optimal	1.5908505726730235
./model.xml	obj	G_PA14_09270	optimal	1.5908505726730187
./model.xml	obj	G_PA14_09280	optimal	1.5908505726730187
./model.xml	obj	G_PA14_09290	optimal	1.5908505726730187
./model.xml	obj	G_PA14_09400	optimal	1.5908505726730187
./model.xml	obj	G_PA14_09410	optimal	1.5908505726730091
./model.xml	obj	G_PA14_09420	optimal	1.5908505726730091
./model.xml	obj	G_PA14_09440	optimal	1.5908505726730187
./model.xml	obj	G_PA14_09450	optimal	1.5908505726730215
./model.xml	obj	G_PA14_09460	optimal	1.590850572694206
./model.xml	obj	G_PA14_09470	optimal	1.5908505726730091
./model.xml	obj	G_PA14_09480	optimal	1.5908505726730091
./model.xml	obj	G_PA14_09490	optimal	1.5908505726730187
./model.xml	obj	G_PA14_09500	optimal	1.5908505726730306
./model.xml	obj	G_PA14_09520	optimal	1.5908505726730306
./model.xml	obj	G_PA14_09530	optimal	1.5908505726730306
./model.xml	obj	G_PA14_09540	optimal	1.5908505726730306
./model.xml	obj	G_PA14_09550	optimal	1.5908505726730062
./model.xml	obj	G_PA14_09600	optimal	1.5908505726730349
./model.xml	obj	G_PA14_09710	optimal	1.5908505726730258
./model.xml	obj	G_PA14_09820	optimal	1.590850572673004
./model.xml	obj	G_PA14_09970	optimal	1.5908505726730298
./model.xml	obj	G_PA14_09980	optimal	1.5908505726730258
./model.xml	obj	G_PA14_10140	optimal	1.5908505726730047
./model.xml	obj	G_PA14_10160	optimal	1.5908505726730047
./model.xml	obj	G_PA14_10170	optimal	1.5908505726730047
./model.xml	obj	G_PA14_10180	optimal	1.5908505726730047
./model.xml	obj	G_PA14_10230	optimal	1.590850572673035
./model.xml	obj	G_PA14_10240	optimal	1.5908505726729945
./model.xml	obj	G_PA14_10250	optimal	1.5908505726730082
./model.xml	obj	G_PA14_10260	optimal	1.5908505726730204
./model.xml	obj	G_PA14_10270	optimal	1.5908505726730306
./model.xml	obj	G_PA14_10280	optimal	1.5908505726730091
./model.xml	obj	G_PA14_10420	optimal	1.5908505726730349
./model.xml	obj	G_PA14_10440	optimal	1.590850572673012
./model.xml	obj	G_PA14_10490	optimal	1.5908505726730169
./model.xml	obj	G_PA14_10500	optimal	1.5908505726730169
./model.xml	obj	G_PA14_10550	optimal	1.5908505726730222
./model.xml	obj	G_PA14_10570	optimal	1.5908505726730071
./model.xml	obj	G_PA14_10590	optimal	1.5908505726730104
./model.xml	obj	G_PA14_10600	optimal	1.5908505726730104
./model.xml	obj	G_PA14_10610	optimal	1.5908505726730091
./model.xml	obj	G_PA14_10620	optimal	1.590850572673025
./model.xml	obj	G_PA14_10630	optimal	1.5908505726730091
./model.xml	obj	G_PA14_10640	optimal	1.5908505726730084
./model.xml	obj	G_PA14_10650	optimal	1.5908505726730084
./model.xml	obj	G_PA14_10750	optimal	1.5908505726730222
./model.xml	obj	G_PA14_10790	optimal	1.5908505726730087
./model.xml	obj	G_PA14_10850	optimal	1.5908505726730215
./model.xml	obj	G_PA14_10890	optimal	1.5908505726730118
./model.xml	obj	G_PA14_10900	optimal	1.5908505726730349
./model.xml	obj	G_PA14_10990	optimal	1.5908505726730104
./model.xml	obj	G_PA14_11000	optimal	1.5908505726730104
./model.xml	obj	G_PA14_11030	optimal	1.5908505726729996
./model.xml	obj	G_PA14_11130	optimal	1.5908505726730187
./model.xml	obj	G_PA14_11190	optimal	1.5908505726730349
./model.xml	obj	G_PA14_11250	optimal	1.5908505726730306
./model.xml	obj	G_PA14_11260	optimal	0.0
./model.xml	obj	G_PA14_11340	optimal	1.5908505726730147
./model.xml	obj	G_PA14_11400	optimal	1.5908505726730222
./model.xml	obj	G_PA14_11410	optimal	1.5908505726730173
./model.xml	obj	G_PA14_11420	optimal	1.5908505726730204
./model.xml	obj	G_PA14_11430	optimal	1.5908505726730173
./model.xml	obj	G_PA14_11460	optimal	1.3493689659238352e-29
./model.xml	obj	G_PA14_11470	optimal	2.546172452692373e-15
./model.xml	obj	G_PA14_11510	optimal	1.5908505726730091
./model.xml	obj	G_PA14_11530	optimal	1.5908505726730298
./model.xml	obj	G_PA14_11550	optimal	9.774517160684177e-16
./model.xml	obj	G_PA14_11560	optimal	0.0
./model.xml	obj	G_PA14_11660	optimal	1.5908505726730091
./model.xml	obj	G_PA14_11690	optimal	-9.910495110506623e-12
./model.xml	obj	G_PA14_11760	optimal	1.5908505726730047
./model.xml	obj	G_PA14_11770	optimal	1.5908505726730047
./model.xml	obj	G_PA14_11790	optimal	1.5908505726730169
./model.xml	obj	G_PA14_11810	optimal	1.5908505726730258
./model.xml	obj	G_PA14_11845	optimal	1.590850572673041
./model.xml	obj	G_PA14_11860	optimal	0.0
